boarding-method,cross-delay,seat-interference-delay,assign-to-nearest-doorluggage-count-0,luggage-count-possibility-0,luggage-count-1,luggage-count-possibility-1,walk-speed-0,walk-speed-possibility-0,walk-speed-1,walk-speed-possibility-1,Iterations;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,399;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,356;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,404;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,422;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,375;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,377;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,390;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,408;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,391;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,409;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,382;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,366;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,403;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,389;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,376;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,411;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,434;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,398;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,412;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,458;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,421;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,383;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,385;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,374;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,411;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,449;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,382;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,360;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,379;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,367;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,403;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,386;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,384;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,393;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,408;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,409;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,408;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,406;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,402;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,415;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,366;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,395;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,406;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,424;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,414;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,390;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,393;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,369;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,363;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,381;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,394;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,399;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,384;
BoardingMethods/wilma1door.txt,5,0,12,30,6,70,1,50,2,50,401;
